,unprocessed_tweet,product,emotion,processed_tweet,emotion_encoded
1793,The iPad 2 Takes Over SXSW [VIDEO] {link} #ipad2 #SXSW,iPad,Positive emotion,ipad take video ipad,1
1800,We're at 2nd and congress #SXSW #RewardsWagon with @mention bookbook iPad cases. Get here fast. :),iPad,Positive emotion,nd congress rewardswagon bookbook ipad case get fast,1
1803,The new #4sq3 looks like it is going to rock. Update for iPhone and Android should push tonight {link} #SXSW #KeepAustinWeird,,Positive emotion,new sq look like go rock update iphone android push tonight keepaustinweird,1
1805,"#sxsw: #15slides: Gruber: keeps on desk Apple Extended Keyboard 2 (discontinued in 1991, $169). Loud. But feels like he writes better.",,Positive emotion,slide gruber keep desk apple extend keyboard discontinue loud feel like writes well,1
1806,#wjchat Q7A: I'm going iPhone/iPad only. Bought a Zagg keyboard. I have high hopes this plan will work. #SXSW,iPhone,Positive emotion,wjchat qa im go iphoneipad buy zagg keyboard high hope plan work,1
1807,{link} via @mention pretty neat database I must say.  does it work on my #android we shall see. #sxsw #party #free,Android,Positive emotion,via pretty neat database must say work android shall see party free,1
1808,Just won a @mention #sxsw mystery prize! I hope it's an iPad 2:) Thanks for a great panel and the gift. #DiscoTalk,iPad,Positive emotion,mystery prize hope ipad thanks great panel gift discotalk,1
1809,"$15k for a &quot;high-quality PDF&quot; iPad app is a good investment for small mags, says Chris Tomlinson, formerly Texas Obs (now AP) #sxsw",iPad or iPhone App,Positive emotion,quothighquality pdfquot ipad app good investment small mag say chris tomlinson formerly texas ob ap,1
1810,We setup a #SXSW demo restaurant page. Sign up or download our iPhone app to check it out {link} &amp; say hi to @mention at #SXSWi,iPad or iPhone App,Positive emotion,setup demo restaurant page sign download iphone app check amp say hi sxswi,1
1811,Just got a back door invite to the Google party. goona network my ass off! #SXSW,Google,Positive emotion,get back door invite google party goona network as,1
1812,Great idea behind #circles RT @mention &amp; @mention Google Launching Secret New Social Network Called Circles {link} #sxsw,Google,Positive emotion,great idea behind circle amp google launch secret new social network call circle,1
1813,"3rd time a charm? All about privacy! RT @mention Google to Launch New Social Network, Circles, maybe today? {link} #sxsw",,Positive emotion,rd time charm privacy google launch new social network circle maybe today,1
1815,Just got a free iPhone charger. Someone came up to me and gave me one randomly. I love #sxsw!,iPhone,Positive emotion,get free iphone charger someone come give one randomly love,1
1816,Just got a free iPhone-charger from Alex on the #Powermatteam. Wow. Makes life at #SXSW so much easier! Thanks!  {link},iPhone,Positive emotion,get free iphonecharger alex powermatteam wow make life much easy thanks,1
1818,Enjoying a Google ice cream sandwich at the GSD&amp;M party...with an edible wrapper! #welivehere #gsdm #SXSW  {link},Google,Positive emotion,enjoy google ice cream sandwich gsdampm partywith edible wrapper welivehere gsdm,1
1819,"There is a great festival #app for #sxsw featured on the app store works with google maps and plan schedule, and it's #free",iPad or iPhone App,Positive emotion,great festival app feature app store work google map plan schedule free,1
1820,"Watching a guy simultaneously use a laptop and an iPad. The Force is strong with this one, mmm. #sxsw",iPad,Positive emotion,watch guy simultaneously use laptop ipad force strong one mmm,1
1823,The Beluga iPhone app is the highlight of this #SXSW. Excellent way to coordinate the #sxsw4japan relief effort.,iPad or iPhone App,Positive emotion,beluga iphone app highlight excellent way coordinate sxswjapan relief effort,1
1826,Apple is a more selfish brand than Microsoft but it has served its brand well.#sxsw,Apple,Negative emotion,apple selfish brand microsoft serve brand wellsxsw,0
1830,Just saw a preview of the new @mention iPad app. Awesome. #sxsw,iPad or iPhone App,Positive emotion,saw preview new ipad app awesome,1
1831,"Watching a promo for Google earth engine at 'Techies can save the world, why don't they?'. Harnessing collective power for good. #sxsw",Google,Positive emotion,watch promo google earth engine techie save world harness collective power good,1
1832,If I was a really bad person I could have just stolen this guys ipad... Just saying. #sxsw,iPad,Positive emotion,really bad person could steal guy ipad say,1
1833,Just had a really great #mophie experience at #sxsw -a user for over 3 months I highly recommend their iPhone 4 battery #goodcustomerservice,iPhone,Positive emotion,really great mophie experience user month highly recommend iphone battery goodcustomerservice,1
1834,It's not a rumor: #Apple is opening up a pop-up store in downtown Austin for #SXSW &amp; iPad 2 launch (via @mention {link},iPad,Positive emotion,rumor apple open popup store downtown austin amp ipad launch via,1
1840,It's not a rumor: Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch: It'... {link},Apple,Positive emotion,rumor apple open temporary store downtown austin ipad launch,1
1844,"Just got a shiny new #iPad2 at #SXSW ? Discover new music with {link} (built in HTML5, not Flash - looks great on iPad)",iPad,Positive emotion,get shiny new ipad discover new music build html flash look great ipad,1
1846,There is a tech bro posed as a homeless person outside the apple pop up with a sign asking for $$$ for an iPad #SXSW,iPad,Positive emotion,tech bro pose homeless person outside apple pop sign ask ipad,1
1847,#sxsw beta testing interactive book for iPad app by Moonbot studios out of Louisiana.  Cool app.,iPad or iPhone App,Positive emotion,beta test interactive book ipad app moonbot studio louisiana cool app,1
1848,At Q&amp;A with Google and Bing on website rankings. Fun. #sxsw,Google,Positive emotion,qampa google bing website ranking fun,1
1852,"3/5 available for Android. &gt;&gt; 5 Absolute, Must-Have Apps to Rock #SXSW Interactive by @mention {link} via @mention",Android App,Positive emotion,available android gtgt absolute musthave apps rock interactive via,1
1853,Free portable iPhone charger from @mention I'm about to use the heck out of this at #SXSW. {link},iPhone,Positive emotion,free portable iphone charger im use heck,1
1854,saw #Hashable pushed out an update to its iPhone app - looks ready to use as the paperless biz card solution for  #SXSW,iPad or iPhone App,Positive emotion,saw hashable pushed update iphone app look ready use paperless biz card solution,1
1857,It's probably best to keep me away from any Apple pop up stores - the temptation to get a White 3G iPad for #SXSW is insanely tempting.,iPad,Positive emotion,probably best keep away apple pop store temptation get white ipad insanely tempt,1
1858,"Learning about all the latest food related apps.  Half the people in this rm make apps #sxsw #gsdm check out lovefresh, coming soon  iphone",iPad or iPhone App,Positive emotion,learn late food relate apps half people rm make apps gsdm check lovefresh come soon iphone,1
1859,Not just about pretty content. Nat Geo has pretty article on iPad. Cooler is twitter list of current Arctic explorers. #flipboard #SXSW,iPad,Positive emotion,pretty content nat geo pretty article ipad cooler twitter list current arctic explorer flipboard,1
1862,@mention about to talk at #sxsw on mistakes building #Netflix #iphone app,,Negative emotion,talk mistake building netflix iphone app,0
1865,fucking mac users..... {link} #sxsw CWebb iPad Grant Hill,Apple,Negative emotion,fuck mac user cwebb ipad grant hill,0
1868,"Yikes, reached a new level of Apple-fanboyism last night: literally fell asleep with a MacBook Pro, iPad 2, &amp; iPhone 4 on top of me. #SXSW",Apple,Positive emotion,yikes reach new level applefanboyism last night literally fell asleep macbook pro ipad amp iphone top,1
1870,"Touch: trackpads first, iPhone, iPad - positives- more natural, don't have to sit, mobile, more relaxed #SXSW #sxswnui",iPhone,Positive emotion,touch trackpads first iphone ipad positive natural sit mobile relax sxswnui,1
1872,Has an iPad 2 !!! Wohooo! Tnx Apple for the popup shop at #sxsw!,iPad,Positive emotion,ipad wohooo tnx apple popup shop,1
1875,Got my ipad 2 and gave to red cross for japan what a first day at #sxsw,iPad,Positive emotion,get ipad give red cross japan first day,1
1876,Win an iPad 2 at SXSW via @mention ! #sxsw {link},iPad,Positive emotion,win ipad via,1
1878,"has an ipad 2 in his hands, and it is exquisite. #sxsw",iPad,Positive emotion,ipad hand exquisite,1
1881,Win an iPad 2! via @mention Video ClipCon! See intro reel at {link} #sxsw #suasxsw #sxswaccel #entrepreneur #smallbiz #ceokidschat,iPad,Positive emotion,win ipad via video clipcon see intro reel suasxsw sxswaccel entrepreneur smallbiz ceokidschat,1
1883,writer iPad app {link} saved my ass on flight &amp; each bigger #SXSW panel - good job @mention @mention :) {link},iPad or iPhone App,Positive emotion,writer ipad app save ass flight amp big panel good job,1
1884,Dawn's iPad App of the Week is up early to help you prep for #SXSW: {link},iPad or iPhone App,Positive emotion,dawn ipad app week early help prep,1
1885,Win an iPad at SXSW via @mention #sxsw {link},iPad,Positive emotion,win ipad via,1
1887,#SXSW: iPad Design Headaches (Take Two Tablet and Call Me in the Morning) {link},iPad,Negative emotion,ipad design headache take two tablet call morning,0
1890,Already had my first Google Circle search result. {link} cc @mention @mention #sxsw,Other Google product or service,Positive emotion,already first google circle search result cc,1
1891,so the iPad will be available while I'm in Austin for #sxsw -- this is major #GeekDilemma,iPad,Positive emotion,ipad available im austin major geekdilemma,1
1895,#sxsw: ipad2 is coming for you! Will you buy? RT @mention Apple to open a store near SXSW for ipad 2 release. {link},iPad,Positive emotion,ipad come buy apple open store near ipad release,1
1896,"Buying iPad2? Turn in ur iPad1, Apple store wipes it clean, donates to schools. Mrs. Jobs idea. #Apple #iPad2 #SXSW",Apple,Positive emotion,buy ipad turn ur ipad apple store wipe clean donates school mrs job idea apple ipad,1
1899,Monday's Adfonic Daily is Out! Read about #iphone white release #Google social #sxsw and all things #mobile here Ðü {link},iPhone,Positive emotion,monday adfonic daily read iphone white release google social thing mobile,1
1900,"LoL U r gadgetzilla! Have fun! @mention It's #SXSW Festival time. OMG I'm scared! Got my netbook, #iPad &amp; my droid!",iPad,Positive emotion,lol gadgetzilla fun festival time omg im scar get netbook ipad amp droid,1
1903,@mention After #SXSW I will never again take a fully charged IPhone for granted; 24/7 pics edit tweet 4square apps =zap! &lt;Good 2 kno!,,Positive emotion,never take fully charge iphone grant pic edit tweet square apps zap ltgood kno,1
1906,"packing bag for #sxsw,not taking DELL laptop (sorry richard)...at the mercy of bb torch and iphone, webmail too i suppose...cheers",iPhone,Positive emotion,pack bag sxswnot take dell laptop sorry richardat mercy bb torch iphone webmail supposecheers,1
1907,Best schwag I've seen at #SXSW is the @mention battery charger for your iPhone. How do I get one?!?!,iPhone,Positive emotion,best schwag ive see battery charger iphone get one,1
1910,Waiting eagerly for Google to launch their secret new Social Network called Circles today at #SXSW &gt;&gt; Any new updates ?,Other Google product or service,Positive emotion,wait eagerly google launch secret new social network call circle today gtgt new update,1
1913,Google Brain apologies for randy ads popping up with search results; algorithm skewed over weekend by randy queries from #SXSW attendees.,,Negative emotion,google brain apology randy ad pop search result algorithm skewed weekend randy query attendee,0
1915,2+ hour wait at the makeshift Apple store for iPad 2. #fail #sxsw,Apple,Negative emotion,hour wait makeshift apple store ipad fail,0
1918,Want to make #SXSW Film more fun? Download #filmaster app {link} check-in to screenings &amp; get private recommendations!,iPad or iPhone App,Positive emotion,want make film fun download filmaster app checkin screening amp get private recommendation,1
1920,"Doesn't make sense to limit content to a specific platform, if it's on the iPad it should be on the web @mention interview w/ @mention #sxsw",iPad or iPhone App,Negative emotion,make sense limit content specific platform ipad web interview,0
1922,The big takeaway from #SXSW interactive - I need an iphone.,iPhone,Positive emotion,big takeaway interactive need iphone,1
1923,Guy Kawasaki &quot;I believe in God because there is no other explanation for the continuous survival of Apple over the years.&quot;. LOL #SXSW,Apple,Negative emotion,guy kawasaki quoti believe god explanation continuous survival apple yearsquot lol,0
1926,Apple's taking old iPads for Teach For America (user gets a tax write-off) when you buy a new iPad. Kinda cool. #sxsw,Apple,Positive emotion,apple take old ipads teach america user get tax writeoff buy new ipad kinda cool,1
1927,9 Essential Apps for #SXSW and Beyond | Underwire | Wired.com {link} #SocialMedia #iPhone #Android,iPad or iPhone App,Positive emotion,essential apps beyond underwire wiredcom socialmedia iphone android,1
1930,My informal unscientific observation is that #Apple is by far the computer of choice at #SXSW. Hands down.  No contest.,Apple,Positive emotion,informal unscientific observation apple far computer choice hand contest,1
1934,@mention Alive and loving it! Great talks from Jonathan Dahl #minimalistprogramming and Google's Marissa Mayer #MarissaGoogle - #sxsw,Google,Positive emotion,alive love great talk jonathan dahl minimalistprogramming google marissa mayer marissagoogle,1
1937,I just realized that I havnt used my laptop since Thursday. Pure #iPhone with a sprinkle of the #iPad2 on top. #Apple #SXSW,iPhone,Positive emotion,realize havnt use laptop since thursday pure iphone sprinkle ipad top apple,1
1938,GroupMe talks about Apple App Store approval woes - there would be a big group of people that would agree with that! #whowillrise #sxsw,Apple,Negative emotion,groupme talk apple app store approval woe would big group people would agree whowillrise,0
1939,It's not all Apple love here at #sxsw. Heard quite a bit of grumbling about holding back features on iPad 1 so people would have to buy v2.,Apple,Negative emotion,apple love heard quite bit grumble hold back feature ipad people would buy,0
1940,Why does all the #Android meetups here in #Austin are when I'm at work. Well at least there is the PS meetup #sxsw,Android,Negative emotion,android meetups austin im work well least ps meetup,0
1944,#virtualwallet #sxsw no NFC in #iphone5 bc of standardization while #android will have it #confusion,iPhone,Negative emotion,virtualwallet nfc iphone bc standardization android confusion,0
1954,Monthly value of user iOS $9.50. Android $7.20. Utility apps most valuable. #sxswEisner #sxsw,,Positive emotion,monthly value user io android utility apps valuable sxsweisner,1
1956,DL the #Calyp App today! Avail in the iTunes App Store &amp; Android Market! #Calyp Look for us at #SXSW,Android App,Positive emotion,dl calyp app today avail itunes app store amp android market calyp look u,1
1958,Google analytics can track offsite links as virtual page views using JavaScript. #moreknowledge #sxsw #mitharvard,Other Google product or service,Positive emotion,google analytics track offsite link virtual page view use javascript moreknowledge mitharvard,1
1959,Google analytics rocks #VIEW512 #SXSW,Other Google product or service,Positive emotion,google analytics rock view,1
1962,Holler Gram for iPad on the iTunes App Store -  {link} (via @mention #sxsw,,Positive emotion,holler gram ipad itunes app store via,1
1963,Holler Gram for iPad on the iTunes App Store: {link} via @mention all you #SXSW-sters great App from #MadebyMany - Free,iPad or iPhone App,Positive emotion,holler gram ipad itunes app store via sxswsters great app madebymany free,1
1964,"UMSHINI WAM/NIGHT FISHING are both weird as shit, but as @mention said they work well together. I liked both, esp the iPhone footage. #SXSW",iPhone,Positive emotion,umshini wamnight fish weird shit say work well together like esp iphone footage,1
1968,"Watching an 8 year old report on #sxsw via his iPhone shows that technology isn't going anywhere...until the robots revolt, that is.",iPhone,Positive emotion,watch year old report via iphone show technology go anywhereuntil robot revolt,1
1972,Just won an awesome iPad from @mention at the #sxswbuffalo lounge! My #sxsw experience is complete!,iPad,Positive emotion,awesome ipad sxswbuffalo lounge experience complete,1
1973,"#SXSW Vegan Guide Google Map (Austin, TX) ~ {link} ~ Based on the Lazy Smurf's info ~ {link}",Other Google product or service,Positive emotion,vegan guide google map austin tx base lazy smurfs info,1
1974,"Don't by an ipad 2 for the rear-facing camera, here is what you get: {link} #sxsw",iPad,Negative emotion,ipad rearfacing camera get,0
1975,"I'll use an iPad 2 if someone gives it to me. Otherwise, iPhone is actually more than up to task #sxsw",iPhone,Positive emotion,ill use ipad someone give otherwise iphone actually task,1
1977,Just won an iPad 2 at #sxsw thanks to @mention #fxsw,iPad,Positive emotion,ipad thanks fxsw,1
1978,Just got an iPad courtesy of a random stranger on the street...an Apple investor at #sxsw ... THANK YOU!!!! Utter... {link},iPad,Positive emotion,get ipad courtesy random stranger streetan apple investor thank utter,1
1979,@mention An iPad is cheaper than most laptops. #newsapps #sxsw,iPad,Positive emotion,ipad cheap laptop newsapps,1
1980,Is there an iPhone app that people use for #SXSW scheduling? This @mention is awesome but there isn't an app! #flummoxed,iPad or iPhone App,Positive emotion,iphone app people use schedule awesome app flummox,1
1985,@mention and @mention saying hi at #sxsw with their new iPhone cases! #zazzlesxsw {link},,Positive emotion,say hi new iphone case zazzlesxsw,1
1986,@mention and @mention shooting some videos at #sxsw. PS - that is a pic from an iPad 2. {link},iPad,Positive emotion,shoot video ps pic ipad,1
1993,"Check in and offers through Google, cool. {link} #SXSW",Google,Positive emotion,check offer google cool,1
1998,@mention Android just got a big call out at #sxsw in they #gamelayer opening keynote. I knew you'd appreciate.,Android,Positive emotion,android get big call gamelayer open keynote knew appreciate,1
1999,@mention Android needs a way to group apps like you can now do with iPad/iPod. #SXSW #hhrs,Android,Negative emotion,android need way group apps like ipadipod hhrs,0
2002,"Awesome hands on review of the iPad 2 coming tomorrow on @mention , guest post by @mention - he's at #SXSW",iPad,Positive emotion,awesome hand review ipad come tomorrow guest post he,1
2005,#LonelyPlanet #Austin iPhone app is a (free!) godsend. GPS-aware map of the city without the need for 3G or WiFi! #sxsw,iPad or iPhone App,Positive emotion,lonelyplanet austin iphone app free godsend gpsaware map city without need wifi,1
2008,Lonely Planet releases free Austin city guide iPhone app for #SXSW. Like there aren't enough apps cluttering up your handset.,iPad or iPhone App,Negative emotion,lonely planet release free austin city guide iphone app like enough apps cluttering handset,0
2010,Lonely Planet's new iPhone Austin city guide is free March 9-15 for those going to #SXSW! {link} #travel,iPad or iPhone App,Positive emotion,lonely planets new iphone austin city guide free march go travel,1
2013,The day Bank of America launched their iPhone app they got 250k new customers #bankinnovation #SXSW,iPad or iPhone App,Positive emotion,day bank america launch iphone app get new customer bankinnovation,1
2015,#sxsw  thanks for the ever present iPhone barging tables...,,Positive emotion,thanks ever present iphone barging table,1
2017,@mention another google social failure? #sxsw,Google,Negative emotion,another google social failure,0
2018,Google plans to bring &quot;The Power of Here&quot; to life in the future by linking the digital and the physical worlds. {link} #sxsw,,Positive emotion,google plan bring quotthe power herequot life future link digital physical world,1
2021,mom...I want my ipad 2 back! {link} #thingsthatdontgotogether #sxsw Lisa Rinna,iPad,Positive emotion,momus want ipad back thingsthatdontgotogether lisa rinna,1
2022,I don't want to lose your love #google #SXSW,Google,Positive emotion,want lose love google,1
2023,So brilliant. Rosso used a google  doc to paste in a recipe to make mothers think they generated a recipe for her. #leanstartup #sxsw,Other Google product or service,Positive emotion,brilliant rosso use google doc paste recipe make mother think generate recipe leanstartup,1
2025,what company company has the best supply chain? Walmart and Apple #behance #sxsw,Apple,Positive emotion,company company best supply chain walmart apple behance,1
2027,"Is there any way of deleting an app that won't stop loading on the iPhone? Draining my power, but no 'x' to cancel. Help me, #SXSW.",iPad or iPhone App,Negative emotion,way delete app stop load iphone drain power cancel help,0
2030,Great recap of a seemingly great #sxsw session: RT @mention Relive the wonder that was the Google v Bing panel: {link},Google,Positive emotion,great recap seemingly great session relive wonder google bing panel,1
2031,Great recap of Google/Bing Q/A session on website ranking #SXSW #qagb {link} (via @mention cc: @mention,Google,Positive emotion,great recap googlebing qa session website rank qagb via cc,1
2032,"iPad 2 Graphics Much Faster Than iPad 1, Motorola Xoom {link} @mention #tech #SXSW",iPad,Positive emotion,ipad graphic much fast ipad motorola xoom tech,1
2033,#sxsw #evaporation @mention @mention Business model is the platform; iPhone app makes tools available to developers,iPad or iPhone App,Positive emotion,evaporation business model platform iphone app make tool available developer,1
2036,I hope  #apple approves iRelay social network for mobile photo sharing app before #SXSW. Easier to share with people of they can download,iPad or iPhone App,Positive emotion,hope apple approves irelay social network mobile photo share app easy share people download,1
2038,A major #Apple iOS update the day before #SXSW? What genius project manager came up with that brilliant idea? #NoWhammies,Apple,Negative emotion,major apple io update day genius project manager come brilliant idea nowhammies,0
2039,@mention Apple is great at turning the new into the old  #SXSW,Apple,Positive emotion,apple great turn new old,1
2040,Sweet... Apple listened to us!  A temp Apple Store near #SXSW for iPad2 launch!  {link},Apple,Positive emotion,sweet apple listen u temp apple store near ipad launch,1
2041,@mention Apple pop-up store at #sxsw was 5 blocks long! #BetterThingsToDo,Apple,Negative emotion,apple popup store block long betterthingstodo,0
2042,Does the apple pop-up store still have iPads? #sxsw #sxswi,iPad,Positive emotion,apple popup store still ipads sxswi,1
2043,"Love the Apple pop-up store at #SXSW. So freaking smart. Now, one question. Will AT&amp;T bring trucks for signal again? Please say yes.",Apple,Positive emotion,love apple popup store freak smart one question atampt bring truck signal please say yes,1
2044,Queue at Apple Pop-Up Store at #sxsw still long!,,Negative emotion,queue apple popup store still long,0
2045,"At SXSW, Apple schools the marketing experts - CNET {link} #sxsw",Apple,Positive emotion,apple school marketing expert cnet,1
2046,"At SXSW, Apple schools the marketing experts {link}  #SXSW",Apple,Positive emotion,apple school marketing expert,1
2047,"At SXSW, Apple schools the marketing experts {link} /via @mention #SXSW #Apple",Apple,Positive emotion,apple school marketing expert via apple,1
2048,"At SXSW, Apple schools the marketing experts {link} #Apple #JobsCo #SXSW",Apple,Positive emotion,apple school marketing expert apple jobsco,1
2051,"At SXSW, Apple schools the marketing experts: {link} via @mention #sxsw #apple #marketing",Apple,Positive emotion,apple school marketing expert via apple marketing,1
2052,clever - Apple set to open popup shop in core of #SXSW action {link},Apple,Positive emotion,clever apple set open popup shop core action,1
2055,"RE: temp Apple store--great move, they really need help with brand recognition :) In all seriousness, pretty cool. #SXSW",Apple,Positive emotion,temp apple storegreat move really need help brand recognition seriousness pretty cool,1
2058,Come on #Apple! Why cant I have spell-checking without auto-correct? Must it be all or nothing? #Grrr #sxsw,Apple,Negative emotion,come apple cant spellchecking without autocorrect must nothing grrr,0
2059,Line for Apple's iPad 2 popup store is already wrapping around the block. #SXSW  {link},,Positive emotion,line apple ipad popup store already wrap around block,1
2060,@mention apple's making a temp store for #SXSW 2011 for u to get an iPad 2 !! {link},iPad,Positive emotion,apple make temp store get ipad,1
2071,"Not to fear, #SXSW attendees... you can pick up your iPad 2s from Apple's Austin pop-up shop! {link} via @mention",iPad,Positive emotion,fear attendee pick ipad apple austin popup shop via,1
2074,"as the search from sxsw via twitter does not work, check out google's real time search, at least you get some results #sxsw",Other Google product or service,Positive emotion,search via twitter work check google real time search least get result,1
2079,"Share, share and share some more. #Posterous Joins The #SXSW Pile On With Posterous Events For iPhone {link} #socmedia",,Positive emotion,share share share posterous join pile posterous event iphone socmedia,1
2086,Tried Square?? It's a credit card reader for iPhone and Android. Amazingly simple. #SXSW impressed. {link},iPad or iPhone App,Positive emotion,try square credit card reader iphone android amazingly simple impressed,1
2087,@mention arg. It won't load on me iPhone. Not via the app store or the site. Just trying to #sxsw it and am feelin so out of touch.,iPhone,Negative emotion,arg load iphone via app store site try feelin touch,0
2088,"had to charge the #iphone every 6hours here on #sxsw. running it on lowest possible screen brightness. apple, fix your basics!",iPhone,Negative emotion,charge iphone every hour run low possible screen brightness apple fix basic,0
2090,iPhone charging party in the hallway. UX and IA professionals unite! #sxsw,iPhone,Positive emotion,iphone charge party hallway ux ia professional unite,1
2096,"Rachael Harris! That's who I saw. That was driving me nuts. Thank you, Google. #sxsw",Google,Positive emotion,rachael harris thats saw drive nut thank google,1
2097,I go to bars and get free drinks because I have an iPhone. #doesdroid #SXSW,iPhone,Positive emotion,go bar get free drink iphone doesdroid,1
2099,Such a smart idea RT @mention w00t! @mention wrote about our #hollergram iPad app for #sxsw!  {link},iPad or iPhone App,Positive emotion,smart idea wt write hollergram ipad app,1
2100,Google's Art Project puts famous artworks into 7 billion pixels- allowing you to zoom in &amp; get an entirely different view of art. #SxSW,Google,Positive emotion,google art project put famous artwork billion pixel allow zoom amp get entirely different view art,1
2101,Google's art project would be a great virtual field trip for kids! Museums around the world! #edtech #sxsw,Other Google product or service,Positive emotion,google art project would great virtual field trip kid museums around world edtech,1
2102,Good CNN article on why #SXSW is important to social web innovators. {link} This is why I'm bringing Griddler iPad app there.,iPad or iPhone App,Positive emotion,good cnn article important social web innovator im bring griddler ipad app,1
2105,Android party #sxsw (@mention Lustre Pearl Bar w/ 36 others) {link},Android,Positive emotion,android party lustre pearl bar others,1
2112,Apple = case study of great #mktg. At #SXSW they just showed everyone up again with buzz about the &quot;pop-up store&quot;: {link},Apple,Positive emotion,apple case study great mktg show everyone buzz quotpopup storequot,1
2115,Is the Flash discussion still relevant? #SXSW #tapworthy iPad design headaches,,Negative emotion,flash discussion still relevant tapworthy ipad design headache,0
2117,"Got my flask &amp; my iPad . Yes,  I'm sitting on 9th st waiting for AICN screening. #sxsw #prepared # ILoveaSurprise {link}",iPad,Positive emotion,get flask amp ipad yes im sit th st wait aicn screening prepared iloveasurprise,1
2118,"Guy just asked Google's Mayer: it can take a year to remove deadly routes from Google Maps, such as through Death Valley #SXSW",Other Google product or service,Negative emotion,guy ask google mayer take year remove deadly rout google map death valley,0
2121,@mention at #cnngrill #sxsw rockin the #iphone couldn't be cooler {link},iPhone,Positive emotion,cnngrill rockin iphone cooler,1
2123,"NYT, WSJ at #SXSW ask: Is there a future for branded, native news apps on the iPad? {link} / no there is NOT!!",iPad or iPhone App,Negative emotion,nyt wsj ask future brand native news apps ipad,0
2124,"@mention at #SXSW, 9 out of 10 attendees have MAC or iPad.",iPad,Positive emotion,attendee mac ipad,1
2126,@mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot; (via @mention,Apple,Positive emotion,quotapple come cool technology one ever hear go conferencesquot via,1
2127,@mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot; /via @mention,Apple,Positive emotion,quotapple come cool technology one ever hear go conferencesquot via,1
2128,@mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot;Û,Apple,Positive emotion,quotapple come cool technology one ever hear go conferencesquot,1
2129,@mention at #sxsw: Google Will Connect the Digital &amp; Physical Worlds Through Mobile {link} and {link},Google,Positive emotion,google connect digital amp physical world mobile,1
2131,@mention at #SXSW! Be the first to send us a pic of @mention and get a free download of our game! #Android #videogame #smartphone,Android App,Positive emotion,first send u pic get free download game android videogame smartphone,1
2134,I just shat a tear. RT @mention Good news for Austin-bound Apple fanboys: {link} #sxsw #ipad2,Apple,Positive emotion,shat tear good news austinbound apple fanboys ipad,1
2135,I hear that Apple is opening a pop-up store downtown in the Scarborough building for SXSW and the iPad2. Cool. #SXSW #newapplestoreaustin,Apple,Positive emotion,hear apple open popup store downtown scarborough building ipad cool newapplestoreaustin,1
2136,I love that Apple was smart enough to have a popup #SXSW store. Story (+ map!) {link} tip @mention,Apple,Positive emotion,love apple smart enough popup store story map tip,1
2139,80s band at google/ACLU 1986 party rocks  #SXSW  {link},Google,Positive emotion,band googleaclu party rock,1
2140,"Hoping that it will be easier to get an iPad 2 today, since 50% of the target audience is busy at #sxsw #awesometiming",iPad,Positive emotion,hop easy get ipad today since target audience busy awesometiming,1
2143,"Oh, is that my excuse:? RT @mention RT @mention at #sxsw: &quot;apple comes up with cool technology ... because they don't go to conferences&quot;",Apple,Positive emotion,oh excuse quotapple come cool technology go conferencesquot,1
2145,Wonder what percentage of #SXSW interactive participants have an iPhone. It's gotta be high,iPhone,Positive emotion,wonder percentage interactive participant iphone get ta high,1
2147,@mention at Team Android party. @mention @mention just walked in. DL Appolicious app &amp; enter to win free Nexus S! #androidsxsw #sxsw,Android,Positive emotion,team android party walk dl appolicious app amp enter win free nexus androidsxsw,1
2148,Geek out at the #sxsw interactive panels with this iPad Holler Gram app. Use your iPad to display messages to others. {link},iPad,Positive emotion,geek interactive panel ipad holler gram app use ipad display message others,1
2151,"The line at the apple store goes around the block. Oh, that's right, iPad 2! Also, #sxsw.",iPad,Positive emotion,line apple store go around block oh thats right ipad also,1
2152,The band at the Google party is the most entertaining band I have ever seen #sxsw,,Positive emotion,band google party entertain band ever see,1
2154,The line at the popup Apple Store is phenomenal. #sxsw #apple #ipad2  {link},Apple,Positive emotion,line popup apple store phenomenal apple ipad,1
2157,"VentureBeat: RT @mention On its second day in business, the Apple pop-up store appears to be trending. #sxsw #vb (@mention  {link}",Apple,Positive emotion,venturebeat second day business apple popup store appear trend vb,1
2160,bout to watch the @mention live at #SXSW Apple Store for iPad 2 w/ @mention and @mention Living vicariously through all those that buy one.,iPad,Positive emotion,bout watch live apple store ipad living vicariously buy one,1
2161,Another late start at #sxsw #sxswi damn you google and your rocking 80's party,Google,Positive emotion,another late start sxswi damn google rock party,1
2162,The Spasmatics are rockin' it at the ACLU / Google party. #sxsw,Google,Positive emotion,spasmatics rockin aclu google party,1
2164,"Great location choice, and nice timing for iPad2 launch: #Apple, #HP 'popping' in for #SXSW {link}",iPad,Positive emotion,great location choice nice timing ipad launch apple hp pop,1
2165,Congratulation! RT @mention Yes! Gowalla wins best Andoid app at the Team Android Choice Awards. Thanks all! #sxsw,Android App,Positive emotion,congratulation yes gowalla win best andoid app team android choice award thanks,1
